id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1239934998725050368,1239934998725050368,2020-03-17 15:21:55 UTC,2020-03-17,15:21:55,+0000,222686829,michaelcrosby87,Michael A Crosby,,"Armed State Police should be placed in Coles and Woolworths stores to prevent violence during panic buying  , @Coles and @woolworths need to ask for poloce support or hire armed security to keep stores from becoming warzones #coles #woolies #covid19 #auspol #coronavirus",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}, {'screen_name': 'woolworths', 'name': 'woolworths', 'id': '15590888'}]",[],[],0,0,0,"['coles', 'woolies', 'covid19', 'auspol', 'coronavirus']",[],https://twitter.com/michaelcrosby87/status/1239934998725050368,False,,0,,,,,,,,[],,,,
1239895676021956610,1239632424931229697,2020-03-17 12:45:39 UTC,2020-03-17,12:45:39,+0000,4920220572,sirbenkenobi,Ben,,@AgeC @Coles It all feels like a sick joke.  Where is all the stock or that toilet paper Quilton promised to be making for 24 hours a day... #Coles #Woolworths #ToiletPaper,en,[],[],[],0,0,0,"['coles', 'woolworths', 'toiletpaper']",[],https://twitter.com/SirBenKenobi/status/1239895676021956610,False,,0,,,,,,,,"[{'screen_name': 'AgeC', 'name': 'Age Conte', 'id': '22424875'}, {'screen_name': 'Coles', 'name': 'Coles Supermarkets', 'id': '29938031'}]",,,,
1239867297184931840,1239867297184931840,2020-03-17 10:52:53 UTC,2020-03-17,10:52:53,+0000,1926809996,drtesasa,ALTER,, https://t.co/zAX02dzsUx  Hi @hannahpaine_ would like to address your report you did on the incident at @Coles please tell the truth and don't cut the video to make the man look bad 58sec original video to your 49sec missing the comment the women made to the man! #coles #incident,en,"[{'screen_name': 'hannahpaine_', 'name': 'hannah paine', 'id': '1916695729'}, {'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",['https://amp.news.com.au/lifestyle/health/health-problems/coronavirus-video-of-coles-employee-pushed-to-limit-emerges-as-supermarkets-react-to-unacceptable-violence/news-story/2ce2ef6d59ac91c66e80599cfecd11fd?__twitter_impression=true'],[],0,0,0,"['coles', 'incident']",[],https://twitter.com/DRTESASA/status/1239867297184931840,False,,0,,,,,,,,[],,,,
1239840035345592321,1239840035345592321,2020-03-17 09:04:34 UTC,2020-03-17,09:04:34,+0000,1238207519417176064,meeshamoments,Meesha,,"Went to #Coles tonight.... NO bread, NO Ice Coffee, NO chocolate milk, NO pasta &amp; rice...&amp; everything else was bare to minimal on the shelves! #Yikes #ItsHappening #coronavirusaustralia @Coles @Australia #DontPanic  https://t.co/SKmpWpu8zU",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}, {'screen_name': 'australia', 'name': 'australia', 'id': '21814628'}]",[],['https://pbs.twimg.com/tweet_video_thumb/ETTL7zKU8AA3gCL.jpg'],0,2,4,"['coles', 'yikes', 'itshappening', 'coronavirusaustralia', 'dontpanic']",[],https://twitter.com/MeeshaMoments/status/1239840035345592321,False,,1,https://pbs.twimg.com/tweet_video_thumb/ETTL7zKU8AA3gCL.jpg,,,,,,,[],,,,
1239839129010982912,1239839129010982912,2020-03-17 09:00:58 UTC,2020-03-17,09:00:58,+0000,354693524,nick_pattillo,Nick Pattillo,,@Coles I am totally confused by what you are doing. I had a order booked to be delivered tomorrow 101478067. You said that you were cancelling deliveries from Thursday 19th. Tomorrow is Wednesday 18th but you have cancelled my order  anyway #wtf #colescancellation #coles #sigh,en,[],[],[],0,0,0,"['wtf', 'colescancellation', 'coles', 'sigh']",[],https://twitter.com/Nick_Pattillo/status/1239839129010982912,False,,0,,,,,,,,[],,,,
1239791226586460164,1239791226586460164,2020-03-17 05:50:37 UTC,2020-03-17,05:50:37,+0000,192186952,brobson_politic,Ben Robson,,"Down, down, our shelf stocks are down!  @Coles  #Coles #auspol #CoronaVirusAustralia",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",[],[],0,1,2,"['coles', 'auspol', 'coronavirusaustralia']",[],https://twitter.com/brobson_politic/status/1239791226586460164,False,https://twitter.com/RodS108443078/status/1239788125427077120,0,,,,,,,,[],,,,
1239791204847325185,1239744026527428608,2020-03-17 05:50:32 UTC,2020-03-17,05:50:32,+0000,192186952,brobson_politic,Ben Robson,,"@RodS108443078 @Tim_jbo @BobeMannBball @smh Down, down, our shelf stocks are down!  @Coles  #Coles #auspol #CoronaVirusAustralia",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",[],[],0,1,3,"['coles', 'auspol', 'coronavirusaustralia']",[],https://twitter.com/brobson_politic/status/1239791204847325185,False,,0,,,,,,,,"[{'screen_name': 'RodS108443078', 'name': 'Rod Stillwell 🇦🇺', 'id': '4856510102'}, {'screen_name': 'Tim_jbo', 'name': 'Timjbo 🇦🇺 🇺🇸 🇹🇭💧☔', 'id': '888912668'}, {'screen_name': 'BobeMannBball', 'name': '🏀 🇦🇺 Bob Mann 🇦🇺 🏀', 'id': '373334462'}, {'screen_name': 'smh', 'name': 'The Sydney Morning Herald', 'id': '16675569'}]",,,,
1239728957332713473,1239728957332713473,2020-03-17 01:43:11 UTC,2020-03-17,01:43:11,+0000,20712295,brettgeoghegan,Brett Geoghegan,,"@Coles @woolworths shouldn't you be ramping-up home delivery services to support the critical need for people to self-isolate? Instead, you're forcing people out into crowded environments. Yes, easier said than done. But c'mon, step up. We can wait. #Coles #Woolworths #COVID19Aus",en,"[{'screen_name': 'woolworths', 'name': 'woolworths', 'id': '15590888'}]",[],[],0,1,3,"['coles', 'woolworths', 'covid19aus']",[],https://twitter.com/brettgeoghegan/status/1239728957332713473,False,,0,,,,,,,,[],,,,
1239715589699977216,1239715589699977216,2020-03-17 00:50:04 UTC,2020-03-17,00:50:04,+0000,1398523621,ndis,NDIS,,".@Coles and @Woolworths stores will be open each morning, from 7am to 8am, for people with a disability and the elderly to access groceries and essentials. Woolworths more info 👉  https://t.co/gOkeHj5ZaT  Coles more info 👉 https://t.co/aWlGBlJFoX   #Coronavirus #Coles #Woolworths  https://t.co/47wIWlOsXA",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}, {'screen_name': 'woolworths', 'name': 'woolworths', 'id': '15590888'}]","['http://bit.ly/2Qmeawk', 'http://bit.ly/3d6lzJW']",['https://pbs.twimg.com/media/ETRad3lU8AEef5e.jpg'],1,14,10,"['coronavirus', 'coles', 'woolworths']",[],https://twitter.com/NDIS/status/1239715589699977216,False,,1,https://pbs.twimg.com/media/ETRad3lU8AEef5e.jpg,,,,,,,[],,,,
1239712899741802496,1239712899741802496,2020-03-17 00:39:22 UTC,2020-03-17,00:39:22,+0000,1398523621,ndis,NDIS,,"@Coles and @woolworths stores will be open each morning, from 7am to 8am, for people with a disability and the elderly to access groceries and essentials. Woolworths more info 👉  https://t.co/5kQ8Im8TAZ Coles more info 👉 https://t.co/aWlGBlJFoX   #Coronavirus #Coles #Woolworths  https://t.co/z3fvRAYVCH",en,"[{'screen_name': 'woolworths', 'name': 'woolworths', 'id': '15590888'}]","['http://bit.ly/2w9q4CY', 'http://bit.ly/3d6lzJW']",['https://pbs.twimg.com/media/ETRX7hXUcAA0A1T.jpg'],0,0,1,"['coronavirus', 'coles', 'woolworths']",[],https://twitter.com/NDIS/status/1239712899741802496,False,,1,https://pbs.twimg.com/media/ETRX7hXUcAA0A1T.jpg,,,,,,,[],,,,
1239696117995933696,1239696117995933696,2020-03-16 23:32:41 UTC,2020-03-16,23:32:41,+0000,1198069579638956032,del_salvador_au,Ly Salvadore,,"Thank you, @Coles for introducing restrictions on the purchase of eggs, pasta, frozen vegetables and frozen desserts. Will you follow suit, @woolworths and @ALDIAustralia in order to curb panic buying? #coronavirusaus #coronavirusaustralia #auspol #Woolworths #Aldi #Coles",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}, {'screen_name': 'woolworths', 'name': 'woolworths', 'id': '15590888'}, {'screen_name': 'aldiaustralia', 'name': 'aldi australia', 'id': '23024272'}]",[],[],0,0,0,"['coronavirusaus', 'coronavirusaustralia', 'auspol', 'woolworths', 'aldi', 'coles']",[],https://twitter.com/Del_Salvador_AU/status/1239696117995933696,False,,0,,,,,,,,[],,,,
1239658098945445888,1239655308588273664,2020-03-16 21:01:37 UTC,2020-03-16,21:01:37,+0000,754544006,ozrokchik,ozrokchik,,@MikeyMikeD @Coles @woolworths YES! Pls lets see some benevolence and giving back. AND the hours for the elderly/disabled should also be 7-9 or 8-10am. Old people are slow and can't just zip around to the shops! #Share #Coles  #woolies #panicshopping,en,[],[],[],0,0,1,"['share', 'coles', 'woolies', 'panicshopping']",[],https://twitter.com/ozrokchik/status/1239658098945445888,False,,0,,,,,,,,"[{'screen_name': 'MikeyMikeD', 'name': 'Michael Davis', 'id': '21807635'}, {'screen_name': 'Coles', 'name': 'Coles Supermarkets', 'id': '29938031'}, {'screen_name': 'woolworths', 'name': 'Woolworths', 'id': '15590888'}]",,,,
1239547504330305539,1239547504330305539,2020-03-16 13:42:09 UTC,2020-03-16,13:42:09,+0000,488855211,dezerdaadvocate,Dezer da Advocate,,I can appreciate that @Coles staff have more pressing issues with #COVID19Aus but disapointed difficult Nat from #Coles #MtGravatt wanted to argue with me that this sign did NOT mean these socks were half price🤔 Eventually provides refund for overcharging after more argument😡  https://t.co/4cNRZrGQ0c,en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",[],['https://pbs.twimg.com/media/ETPB4KIU8AYz3Am.jpg'],1,0,0,"['covid19aus', 'coles', 'mtgravatt']",[],https://twitter.com/DezerdaAdvocate/status/1239547504330305539,False,,1,https://pbs.twimg.com/media/ETPB4KIU8AYz3Am.jpg,,,,,,,[],,,,
1239502409568665601,1239502409568665601,2020-03-16 10:42:57 UTC,2020-03-16,10:42:57,+0000,2156441738,rmaarbani,Tweeting,,@Coles when is your staff going to stop people who stand outside while a family member constantly goes in until they fill up the trolley outside? You dropped the ball with baby formula pls pick it up #Coles,en,[],[],[],0,0,1,['coles'],[],https://twitter.com/rmaarbani/status/1239502409568665601,False,,0,,,,,,,,[],,,,
1239495667426283520,1239421892211040257,2020-03-16 10:16:10 UTC,2020-03-16,10:16:10,+0000,224977551,tdeb007,Tania,,@The__Pigman @Coles Don’t need a link! I’m a long term weekly #ColesOnline shopper. @woolworths are the ones who take your money at the time of order! It’s just another reason why #Coles is better!,en,"[{'screen_name': 'woolworths', 'name': 'woolworths', 'id': '15590888'}]",[],[],1,0,1,"['colesonline', 'coles']",[],https://twitter.com/tdeb007/status/1239495667426283520,False,,0,,,,,,,,"[{'screen_name': 'The__Pigman', 'name': ""The Pigman -- We must break China's back."", 'id': '964103598'}, {'screen_name': 'Coles', 'name': 'Coles Supermarkets', 'id': '29938031'}]",,,,
1239482458371788801,1239482458371788801,2020-03-16 09:23:41 UTC,2020-03-16,09:23:41,+0000,1127569280910757888,thinking_lady_,Thinking Out Loud,,"Hey @Coles, I wanted to ask politely WTF IS THE CEO THINKING by cancelling deliveries? You are forcing those with compromised immune systems to be exposed. People with cancer, lupus, pregnant, etc. also need to eat and we are also part of the community! Well done!  #Coles #COVID",en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",[],[],4,0,1,"['coles', 'covid']",[],https://twitter.com/thinking_lady_/status/1239482458371788801,False,,0,,,,,,,,[],,,,
1239469639702208512,1239469639702208512,2020-03-16 08:32:44 UTC,2020-03-16,08:32:44,+0000,56311200,talepeddlerjo,Josephine Pennicott,,"@Coles how can you suspend all online orders and by some feat of psychic ability know who are your elderly customers online? A poor way to treat long term customers. Yes, we will come out of self isolation and shop #coles but it won’t be with you again. #coronavirusaustralia",en,[],[],[],0,0,0,"['coles', 'coronavirusaustralia']",[],https://twitter.com/talepeddlerJo/status/1239469639702208512,False,,0,,,,,,,,[],,,,
1239445813434019840,1239445813434019840,2020-03-16 06:58:04 UTC,2020-03-16,06:58:04,+0000,964403230296829952,mtdruittnoir,Nicki J,,So @Coles has cancelled home deliveries after Wednesday. #Coles now require us to attend their crappy overcrowded supermarkets IN PERSON 🤯  Sole parents can take our germy kids in at 7am WITH THE ELDERLY.   Sometimes it  feels like this #pandemic is on purpose. 🙃 #COVID19Aus,en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",[],[],1,2,1,"['coles', 'pandemic', 'covid19aus']",[],https://twitter.com/mtdruittnoir/status/1239445813434019840,False,,0,,,,,,,,[],,,,
1239431938709934080,1239431938709934080,2020-03-16 06:02:56 UTC,2020-03-16,06:02:56,+0000,1193364190183882753,mypublicacc1,🍷,,Well it looks like @Coles are cancelling online orders. Great for people like me who have a back injury and rely on these deliveries. What am I going to do now? #coles #shopping #caronavirusoutbreak,en,"[{'screen_name': 'coles', 'name': 'coles supermarkets', 'id': '29938031'}]",[],[],2,0,1,"['coles', 'shopping', 'caronavirusoutbreak']",[],https://twitter.com/MyPublicAcc1/status/1239431938709934080,False,,0,,,,,,,,[],,,,
